category,s1,s2,label,node_id,neighbour
Growing Up & Facts of Life," Rock l iff outlines how mass consumer ism is harm ing our planet , specifically focusing on how teens can use their purchasing power to enact change . She discusses examples of common teen products like high - tech electronics , clothing , and junk food , explaining their production harm s makers , environment , and consumers . The book covers fair labor practices , environmental pill aging , factory farming , excessive marketing , local vs . corporate stores , and throw away mentality . Rock l iff encourages teens to make a difference by making small changes in their buying habits , such as buying fair - trade chocolate or saving up for organic cotton T - shirts . The book features pop - art illustrations and an impressive bibli ography with sources to help teens learn about product origins . It is a sturdy paper back with practical advice for kids to impact their world by making informed choices about food , clothing , cell phone replacement , and more . The book discusses recycling limitations and warns about corporate green w ashing . It is suitable for grades 6 - 9 .", Get Real : What Kind of World are YOU Buying ? ,2,32026,"[17212, 53558, 60631]"
Mysteries & Detectives," And rew E . S vens on , a prolific children ' s writer , auth ored The Happy Holl isters under the pen name Jerry West for the Str atem ey er Syn d icate . S vens on was born in Bel lev ille , NJ , in 1 9 1 0 and pursued a career in writing after graduating from the University of Pittsburgh . He joined the Str atem ey er Syn d icate in 1 9 4 8 and wrote 3 3 titles in The Happy Holl isters series , as well as creating other children ' s series . The books were known for their educational element and were loved by children for their danger and excitement .", The Happy Holl isters and the Trading Post Mystery ( Vol ume 7 ),9,53511,"[27220, 52954, 53001, 53491, 53972, 53996, 54170, 55759, 58382, 58804]"
"Arts, Music & Photography"," Ar lo , a young arm ad illo from Brazil , emb arks on his first adventure to Paris following the footsteps of his world - tra vel ing grandfather , August in . Through August in ' s journal , Ar lo discovers the city ' s famous land marks and enjoys its cuisine and culture . Eventually , he learns the mystery behind the Iron Lady , revealed to be the E iff el Tower . The story is narr ated with excerpt s from August in ' s journal and lovely illustrations , making it a delightful read for children .", An Arm ad illo in Paris ,13,70404,"[13380, 20268, 35085, 37663, 55452, 57878, 67835, 70428]"
Growing Up & Facts of Life," El le Woods , a sophomore at Beverly Hills High School , decides to transform herself and her school ' s basketball team to win the affect ions of handsome Hunter Perry , the team ' s star player . Originally having no interest in basketball or cheer leading , Elle learns to chore ograph routines and design uniforms , eventually helping the team succeed . This pre quel to the Leg ally Bl onde films is aimed at middle - grade readers and fans of the movies .", El le Woods : Bl onde at Heart - # 1 ( Le g ally Elle Woods ),2,34931,"[34930, 34942]"
Mysteries & Detectives," Z uni Blues , known for her intriguing tales , combines entertaining stories with valuable life lessons . From solving school cases to battling monsters , her writings offer an unforgettable reading experience .", The Mean Girl Who Never Spe aks ( The My a D ove Case Files ) ( Vol ume 1 ),9,56074,"[4363, 4383, 5214, 6175, 6388, 6414, 6445, 6459, 6534, 6743, 6858, 6905, 8354, 8358, 8359, 8443, 10328, 10572, 11485, 11546, 15370, 19110, 19175, 19432, 19662, 21173, 21435, 21841, 22276, 22967, 24787, 28611, 28827, 29601, 29620, 34968, 34969, 34977, 42591, 44429, 44431, 44456, 44614, 44708, 52721, 55296, 55349, 58184, 58464, 58704, 58990, 62297, 65860, 69353, 74967]"
Education & Reference," A vibrant biography of Justice Ruth Bad er G ins burg , known for her fight for gender equality and women ' s rights . The book showcases her professional achievements , personal life , and friendship with Justice Sc alia . It includes photos and informative insert s , adding a light hearted touch to the serious subject . The authors effectively capture G ins burg ' s spirit , leaving readers in awe .", Not orious RB G Young Readers ' Edition : The Life and Times of Ruth Bad er G ins burg ,12,4385,"[3779, 4235, 4281, 4345, 4393, 11041, 15001, 16599, 16911, 19110, 21096, 29298, 41009, 45842, 48717, 51247, 52239, 55244, 55428, 58162, 58204, 58448, 64632, 64637, 70242]"
Humor," D AN PAR ENT is an American comic book artist and writer renowned for his innovative work at Ar chie Comics . He is particularly known for creating the KE V IN KE LL ER series , which gar nered significant media attention and won the 2 4 TH AN N UAL G LA AD MED IA AW ARD FOR OUT ST AND ING COM IC BO OK . Parent also wrote the story where Ar chie fell for Val erie of Jos ie & The P ussy cats and was the artist for OB AMA AND P AL IN IN R IV ER D ALE , AR CH IE ME ET S K ISS , and AR CH IE ME ET S G LE E graphic novels .", Dan Parent : Ar chie Comics Master mind ,3,72238,"[18918, 67599, 67601, 67609, 68356, 68357, 68359, 68361, 68362, 68366, 68367, 68370, 68374, 68376, 68381, 69726, 69727, 69729, 69731, 69732, 69734, 69735, 69736, 72206, 72208, 72227, 72241, 72261, 72265, 72267, 74513, 74534, 74548]"
Growing Up & Facts of Life," Gr ade 3 - 6 . Katie ' s mother is a traveling country - western singer , and her family has a casual Thanksgiving tradition . However , when her class mate Claire shows off her perfect celebration , Katie desires a grand dinner to bring her family closer . She accidentally invites her teacher and struggles to prepare a meal . This heart w arming story explores family bonds , humor , and the importance of holidays .", Tur key Monster Thanksgiving ,2,37951,[46858]
Animals," L ion el Pa xton , a novelist turned children ' s book author , creates informative and engaging picture books for kids aged 5 to 1 2 . Mar ried to Mary Ellen , they are parents to four boys . Pa xton understands the significance of books in childhood and is inspired by his own children ' s curiosity . He began writing children ' s books after Jack and Thomas ' arrival , focusing on adventure and real - life topics . Pa xton and his family live in Ho - H o - K us , New Jersey , with various pets ."," Gu ide Dogs ! A Kids Book About Guide & Other Assistance Dogs : Fun Facts About Can ine Compan ions For Independence , Learn About These Dog Heroes ... Dogs , Hearing Dogs & Assistance Dog Training .",1,57302,"[24227, 25186, 33960, 44699, 52955, 60241, 65159, 72117]"
Growing Up & Facts of Life," El iz abeth Ke field , star of the Sweet Valley Soccer League , faces discrimination from team mate Todd Wil kins . After being te ased about their alleged romance , Todd treats Elizabeth unfair ly , claiming she ' s not good at sports just because she ' s a girl . Heart broken , Elizabeth qu its the team . Without her , the soccer team struggles to win .", No Girls All owed ( S weet Valley Kids ),2,23514,"[23417, 23436, 23512]"
Animals," An Australian import featuring three sheep she are rs and their unique methods , this story follows Sha un and his sheep Pete as they revolution ize the industry . With innovative styling and polite requests , Sha un and Pete gain the favor of the sheep , eventually leading to the opening of a bar bers hop specializing in sheep ha irc uts . The story is a light - hearted and amusing tale with clean and crisp illustrations .", P ete the She ep - She ep ,1,25210,[23140]
Science Fiction & Fantasy,,,7,57585,"[7988, 57870, 71150]"
Growing Up & Facts of Life," Good toilet training books seem as scarce as a clean public rest room in Times Square , and this book won ' t alleviate the problem . It follows a parade of need y children joined by wise mice guiding them to the bathroom and back . The book uses encouraging phrases for reluctant children and includes remind ers to use toilet paper , flush , and wash hands . Despite busy and possibly confusing illustrations , it reass ures children that they ' ll get another chance if they don ' t get it right the first time . The book is most useful for home libraries .", Time to P ee !,2,34887,"[1359, 2661, 2664, 2665, 2680, 2828, 2959, 3205, 3350, 3692, 3701, 3702, 8526, 14557, 24018, 28390, 32828, 34928, 34950, 34954, 34970, 34976, 46000, 46482, 47609, 47648, 48908, 48962, 48996, 48998, 49001, 49003, 49023, 49042, 49086, 49088, 49091, 49131, 49138, 49193, 49257, 49259, 49267, 49304, 52511, 55832, 55846, 55852, 55869, 55875, 55884, 55896, 55930, 55950, 75638]"
Growing Up & Facts of Life," Auth ored by Ellen Sab in , The Special Needs Accept ance Book : Being a Friend to Someone with Special Needs is the latest addition to her renowned series . Previously published works include The Giving Book , The Hero Book , The Healing Book , and The Autism Accept ance Book . The Water ing Can Press provides free guides for parents and teachers to further enhance the books ' impact in educational and group settings .", The Special Needs Accept ance Book : Being a Friend to Someone with Special Needs ,2,43312,"[34042, 43310, 51035]"
Literature & Fiction," St acia Deutsch is an author known for her children ' s books . She has written eight - book series Bl ast to the Past , twe en novel Mean Gh oul s , and books for Nancy Drew and the Cl ue Crew and The Box car Children series . Her work has been featured on the New York Times best s eller list for novel izations of Cloud y with a Chance of Meat balls and The Sm ur fs movies . Visit St acia De utsch . com for more information .", L incoln ' s Legacy ( Bl ast to the Past ),0,28372,"[183, 4129, 5340, 6459, 9639, 11397, 15151, 17316, 18101, 18474, 18764, 20799, 22101, 22162, 22498, 22883, 26201, 26324, 26383, 28347, 28370, 28790, 34497, 37446, 47552, 47576, 49459, 51968, 52017, 59911, 63867, 73594]"
Literature & Fiction," Car ol Greene is a children ' s book author known for her non fiction works . One of her titles is ' Hi , Cl ouds ' ( R ookie Readers series ), a book that aims to educate and engage young readers ."," Hi , Cl ouds ( R ookie Readers )",0,20347,"[4714, 15191, 20362, 20545, 20557, 20572, 20633, 20636, 30760, 61930]"
Growing Up & Facts of Life," In this sp unk y hero ine ' s latest adventure , L ulu faces a Halloween costume dilemma while engaging in fall activities .", L ady bug Girl and the Dress - up D ile mma ,2,36443,"[2194, 2314, 2328, 2707, 3188, 3278, 3321, 3336, 4105, 6735, 8745, 9454, 16582, 17105, 18401, 18872, 18889, 18910, 18933, 18966, 19065, 19105, 19109, 19111, 19155, 19192, 19377, 19597, 21706, 22077, 25778, 26171, 29544, 36411, 36424, 36436, 36442, 36456, 36460, 36513, 36517, 36551, 36559, 36579, 36582, 36586, 36589, 36590, 36605, 36629, 37278, 37807, 45344, 45491, 45665, 49189, 51077, 51727, 54480, 56698, 58069, 59750, 74413]"
Growing Up & Facts of Life," J ay ne en Sanders , an experienced early years educator and award - winning children ' s book author , has written several titles focused on body safety , consent , and respect . Her book , ' Some Secrets Should Never Be Ke pt ', aims to facilitate critical conversations between parents and children about self - prot ection and encouraging children to speak up . Following its success , she developed a comprehensive teacher ' s resource kit and published more children ' s books on body safety , consent , and gender equality . Jay ' s commitment to children ' s safety and empowerment continues with new manuscripts and free - to - download resources .", J ay ne en Sanders ' Body Safety and Res pect Education Books ,2,73174,"[2817, 6238, 6391, 7556, 10516, 19538, 21106, 21411, 21955, 32099, 32461, 32484, 32707, 33863, 34076, 36442, 37757, 41481, 41960, 42632, 42911, 44166, 44297, 44590, 45085, 45116, 45222, 46903, 57523, 61638, 61650, 66919, 66921, 66924, 68071, 68120, 70360, 70514, 70679, 71025, 71891, 72163, 72272, 73067, 73081, 73175, 73178, 73179, 73180, 73181, 73182, 73256, 73257, 73539, 73906, 75157, 75375, 75743]"
Geography & Cultures," Ill ustr ations are colorful , and the story progress es steadily . It reflects Am ish family life . teaches a positive message of love , self - esteem , patience , harmony , and mod esty . Well - written , fun , and flows smoothly from page to page .", Just Like Mama ,11,34335,[18046]
Education & Reference," C le ary and G able ' s book , ' A Second , a Min ute , a Week With Days in It : A Book About Time ,' tackles the concept of time measurement . The book discusses various time units like seconds , minutes , days , weeks , months , and years , along with their corresponding activities . However , some explanations are better than others , and the description of days in a month , for instance , is lacking . The artwork by G able is humorous and features his iconic cats . Although not as successful as their other math titles , the book may help teachers put time in perspective ."," A Second , a Min ute , a Week With Days in It : A Book About Time ( Math Is Categor ical )",12,53608,"[1362, 1369, 1495, 4844, 4851, 4863, 4870, 4875, 4879, 4884, 4896, 7191, 7587, 17749, 17996, 18142, 18172, 26908, 31407, 31429, 31592, 31656, 31723, 33997, 37261, 38903, 38908, 38933, 38970, 38977, 39109, 39205, 39470, 45627, 46724, 46752, 46753, 53546, 53571, 53640, 61313, 61334, 61335, 62139, 62150, 62164, 64978, 68405]"
Sports & Outdoors," An engaging book for young hockey enthusiasts ! Explore the world of organized sport , outdoor activities , and creativity through hockey . Improve physical fitness and enjoy a fun , interactive experience ."," H ockey Morning , No on , and Night ",21,73298,"[5868, 19251, 34566, 41721, 44591, 45017, 45234, 50299, 50798, 50869, 54324, 55419, 58787, 63088, 63234, 63238, 63324, 65484, 67425, 70384, 70402, 70439, 70457, 70464, 70571, 74968]"
Growing Up & Facts of Life," New FUN Hard cover Book with colorful illustrations and a fun story for children aged 4 - 8 . Perfect as a gift or for personal reading . The book features a charming dust jacket and is sure to become a favorite . Enjoy exped ited shipping , satisfaction guaranteed , and a delightful read with Wh is pering P ines .", Just Jos ie and the Perfect Day ,2,47087,"[38218, 47088, 57194, 70623]"
"Arts, Music & Photography", S oph ia Low ell is a skilled Y A author and a dedicated ' G le ek .' Her original G lee novels capture the show ' s humor and heart felt story lines ., G lee : Summer Break ,13,10612,"[10631, 74536]"
Animals," In this word less picture book , a young be aver gets lost in a vast city after jumping onto a log that ' s carried away by a cr ane . He encounters a dog , a fake all igator in a pool , explores the Be aver Exhib it at the zoo , and swim s across a lake . Following a mouse , he finds his way home late at night .", Be aver Is Lost ,1,13662,"[4930, 7782, 10269, 13723, 15546, 16046, 17622, 17634, 21501, 22296, 23028, 25008, 25129, 25294, 25306, 27034, 32951, 33326, 38454, 45727, 45884, 51153, 52335, 52397, 52473, 52478, 52599, 54143, 54575, 58229, 64949]"
Geography & Cultures," This 1 2 8 - page mystery entertain s and teaches young readers effort lessly , as do other Car ole Marsh mysteries . The series is a true gem of original , informative , and entertaining storytelling ."," The Mystery at Big Ben ( London , England ) ( 1 ) ( Ar ound the World In 8 0 Myst eries )",11,25417,"[15014, 18588, 18607, 18721, 18964, 19141, 19231, 19258, 19280, 25381, 25386, 25389, 25392, 25416, 25426, 25427, 25434, 25435, 25436, 25439, 25440, 25443, 25457, 25461, 25465, 25480, 25489, 25497, 25501, 25516, 25520, 47128, 47511, 63174, 70350, 71806]"
Animals," The Evans brothers , Nate and Vince , create an enjoy ably off - the - wall esc ap ade in their manga - inspired artwork and rapid - fire dialogue , channel ing the pump ed - up drama and intensity of comics like Speed R acer . Their bold artwork , go of y humor , action - packed battles , and kitchen - s ink plot make for an engaging read . Nate has illustrated over 3 5 kids ' books and written a few more , while Vince has worked as a comic book artist for Marvel and others .", T yr ann os aurus Ralph ,1,52216,"[13575, 16906, 22442, 25659, 29305, 45163, 45771, 52180, 52196, 52217, 52244, 52251, 52253, 52256, 55921]"
Literature & Fiction," G ert r ude Chandler Warner , born in 1 8 9 0 in Put nam , Connecticut , wrote The Box car Children after imag ining life in a cab o ose or freight car . Inspired by its success , she auth ored 1 8 more stories about the Ald en Children .", El ranch o del m ister io ( Sp anish Edition ) ( The Box car Children Myst eries ),0,37977,"[471, 8494, 17175, 19107, 23078, 26950, 26982, 27422, 28523, 37699, 37961, 45934, 51406, 52198, 52223, 64608, 73685]"
Growing Up & Facts of Life," Som etimes We Were Bra ve is a story about a kindergarten - grade 2 student , Jerome , who misses his mother due to her job as a sail or . The story addresses the difficulties associated with a parent ' s absence and how Jerome and his dog , D uffy , cope with her abs ences . The text is positive about Jerome ' s father but odd ly distances him in the water color illustrations . The focus is primarily on Jerome , D uffy , and Mom , with pictures showing a sent imental , clean , and sunny atmosphere . The story ends with Jerome anticip ating his mother ' s home coming , leaving it open - ended and rel atable for children in similar situations .", Som etimes We Were Bra ve : A Story of Parent al Abs ence and Cop ing ,2,64116,"[1648, 31892, 34846, 37658, 43195, 43964, 48179, 50062, 51653, 54098, 63977, 64122, 67707, 74403, 74674]"
"Arts, Music & Photography",,,13,61279,"[32378, 44922, 51794, 53366, 60261, 61247, 61248, 61250, 61251, 61258, 61263, 61286, 61336, 61345, 62531, 65707, 65727, 67771, 69203]"
Geography & Cultures," John Ske w es , a professional illustr ator in Seattle , is the creator and illustr ator of the award - winning Larry Gets Lost children ' s book series . In Larry L oves Washington , DC !, the ninth book in the series , Larry emb arks on a new adventure in our nation ' s capital ."," L arry L oves Washington , DC ! : A Larry Gets Lost Book ",11,68996,"[2224, 7036, 7615, 17577, 18537, 19383, 25409, 35101, 43217, 43445, 43448, 43681, 44261, 49393, 55126, 55345, 56448, 61157, 61168, 61174, 61182, 61185, 61187, 61191, 61195, 61198, 61202, 61204, 61206, 66157, 67156, 69002, 72605, 73128, 73731, 74785]"
Animals," B on nie Bryant is a renowned author who has written nearly a hundred books about horses . Some of her popular series include Sadd le Club , Sadd le Club Super Ed itions , and P ony Tales .", H orse Wise ( S add le Club ( R )) ,1,23435,"[10121, 23414, 23420, 23425, 23440, 23445, 23446, 23447, 23452, 23457, 23464, 23497, 23528, 23580, 58302]"
"Arts, Music & Photography"," This picture book blends facts with quirky speculation about the life of composer Ludwig van Be ethoven , starting with his wild - ha ired birth in 1 7 7 0 . The book humor ously explores why he relocated 3 9 times to different apartments in Vienna , citing reasons like unpaid rent , unpleasant smells from nearby cheese shops , and noise complaints . The story follows Be ethoven ' s five leg less pian os , a headache for his mo vers , and mix es silly evidence with n ug gets of truth about his deaf ness . The cartoon illustrations portray the fra zz led composer and enhance the humor of the text . However , the joke wears thin , and the ant ic lim actic conclusion may disappoint readers unfamiliar with Be ethoven ' s life and work .", The 3 9 Apart ments of Ludwig Van Be ethoven ,13,13168,"[12682, 21157, 24074, 28267, 51559, 68113]"
Growing Up & Facts of Life," This hilarious book is loved by readers of all ages . Its light hearted approach and insightful advice on topics like friendship , food , and self - care make it a must - have for pre teen girls . F illed with cartoons and step - by - step guides , it ' s a fun and informative read .", The Big Book of Girl Stuff ,2,49368,"[9416, 9475, 9503, 11296, 12837, 21932, 22521, 28827, 31069, 38538, 40466, 49315, 49330, 49371, 49644, 49691, 49800, 49836, 55976, 56828, 61210, 65436, 65437, 66898, 66904, 67824, 75617]"
Growing Up & Facts of Life," Ad am Gam ble , a writer , photographer , and publisher , is the author of numerous books including those in the Good Night Books series , In the Foot steps of Th ore au , and A Public Bet ray ed . He resides in Sand wich , MA . Cooper Kelly , the illustr ator , grew up in Connecticut and New York City and now lives in Paris , France . His diverse artistic style has led to collaborations with a wide range of clients in both adult and children ' s publishing . He has illustrated over a dozen titles in the Good Night Books series , including the popular Good Night Beach and Good Night Dump Truck , as well as the recently published Good Night Pir ate Ship . ", Good Night Montreal ( Good Night Our World ),2,66116,"[43443, 43446, 43447, 43451, 66029, 66031, 66048, 66053, 66054, 66065, 66074, 66105, 66150]"
Animals," There ' s no denying that kids love Cliff ord . The Big Red Dog has been a favorite since Norman Brid well created him over 4 0 years ago . Brid well , a commercial artist in New York City , created Cliff ord after a painting of a little girl with a big red dog . The story was written in just three days , and Sch ol astic published it . Brid well , who grew up in K ok omo , Indiana , now lives on Martha ' s Vine yard , Massachusetts , with his wife , Norm a .", Cl iff ord ' s Word Book ,1,24301,"[22122, 22576, 24315]"
"Arts, Music & Photography"," Dan Gut man is a renowned author , known for his bestselling book series like Gen ius Files , Baseball Card Adventure , and My We ird School . He has received 1 9 state book awards and 9 2 nominations . He lives in New York City with his wife , Nina .", John ny Hang time ,13,4034,"[1502, 2740, 3703, 3970, 27955, 28460, 28473]"
Growing Up & Facts of Life," This picture book features 1 3 mistakes made by children and animals . Each mistake is shown on a two - page spread , followed by a positive message reass uring readers it ' s okay to make mistakes . The digital illustrations are bold , outlined in black , and set against colorful backgrounds , making it perfect for group sharing and discussion .", It ' s Okay to Make Mist akes ,2,10917,"[2257, 2538, 4098, 10278, 10293, 10300, 10337, 10339, 10344, 10350, 10362, 10390, 10443, 10444, 10453, 10498, 10767, 10854, 10857, 10862, 10890, 10911, 11039, 11044, 11048, 11053, 11522, 11553, 11622, 11843, 16347, 21109, 21344, 21955, 22725, 28292, 28790, 29290, 32304, 32368, 36509, 37455, 43897, 43907, 44590, 44592, 44620, 45112, 45116, 45949, 46243, 48616, 50605, 51812, 58161, 59012, 59750, 61644, 61650, 62709, 64158, 64787, 68204, 70454, 73180, 74024, 74031, 74665, 74677, 75220, 75589, 75852, 75855]"
"Arts, Music & Photography"," In u ks uk Journey : An Artist at the Top of the World is a vibrant account of a week long trek to In u ks ug ass ait , N un av ut , Canada . Author and artist Wallace captures the awe - insp iring landscape and deep cultural significance of the area , showcasing its unique stone markers , wildlife , and native lifestyle . The book features personal photos , sketches , and comments that offer an intimate portray al of life in the Arctic . Polar bears , car ib ou , and whales are among the animals encountered on the journey . Wallace ' s respect for the land and its people sh ines through in this captiv ating narrative , which is enhanced by vibrant oil paintings .", In u ks uk Journey : An Artist at the Top of the World ,13,72843,"[7506, 60403]"
Growing Up & Facts of Life," E ight - year - old Ar chie Morning star and his father join P ockets , an agent of the Inter gal actic Security Force disgu ised as an ordinary cat , on a crucial mission to N aut il us , a planet where most inhabitants live underwater . They must investigate why the water is disapp earing and reverse the effects to save the aliens ' lives . The series ' humor , new alien world introduction , and fast - paced storytelling will engage early chapter book readers . Science concepts are explained at the end .", Space Tax i : Water Planet Rescue ,2,10947,"[10508, 10940, 10942, 10953, 11203, 11204, 45866]"
Education & Reference, R are Book , IN V EST IG ATIONS 2 0 1 2 COMM ON C ORE ST UD ENT ACT IV ITY BO OK S ING LE V OL UM E ED GR ADE 5 ,12,11779,"[11778, 11780, 11787]"
Growing Up & Facts of Life," This beautiful story tells of two brave boys who saved their village by embark ing on a journey to the homes of the Rain and Snow spirits to beg for water . Written by Ort iz , the narrative is grace fully accompanied by stunning full - color illustrations by Miche al Lac apa , making it an engaging and breathtaking tale suitable for all ages .", The Good Rainbow Road ,2,38688,"[5352, 7775, 10271, 15130, 27009, 35399, 37140, 38090, 38715, 39331, 39983, 41018, 41541, 41564, 41760, 41811, 41960, 42513, 48542, 48585, 48633, 52899, 52913, 59255, 59610, 62681, 62863, 70672, 70685, 72721, 73269, 73874, 74319, 74566, 74648, 74830]"
History," A comprehensive yet approach able book on the Panama Canal for grades 3 - 6 , detailing its history from French origins to American completion . The author , Mann , vivid ly describes the canal ' s construction and its impact on the world , addressing complex topics like locks and d ams in simple terms . She also highlights the labor conditions of Caribbean workers and includes a pull - out illustration of how the canal operates . Although Tim McN ees e ' s The Panama Canal is more thorough , Mann ' s book is an excellent choice for younger readers .", The Panama Canal : The Story of how a J ungle was Con quered and the World Made Small er ( W ond ers of the World Book ),18,42806,"[19144, 24340, 28525, 73513, 73518]"
Growing Up & Facts of Life," A com ical saga about facing fears , this novel combines humor and creep iness with engaging storytelling . Pra ised by The New York Times Book Review , US Weekly , and Kirk us Reviews , among others . The third book in the Night ma res ! series , written by actor Jason Se gel and co - author K irst en Miller .", N ight ma res ! The Lost L ull aby ,2,14912,"[2350, 4303, 6651, 6787, 6910, 8485, 11142, 11246, 11299, 11308, 11330, 11397, 11408, 11418, 11575, 12837, 14903, 14908, 14922, 16900, 16906, 21778, 22883, 22886, 22927, 23927, 25651, 25659, 29298, 42672, 45869, 45993, 48669, 51847, 51983, 54617, 55146, 55444, 58071, 58510, 66724, 68179, 68219, 68460, 74934, 75000, 75630]"
Growing Up & Facts of Life," Mon ique Buc he ger is an author with 1 2 children . When she ' s not writing or playing taxi driver , she enjoys scrap book ing and attending child - oriented events . Despite the time constraint , she tries to enjoy her life journey . Her books are popular , and she plans to write more .", Mon ique Buc he ger : Author and Mother of 1 2 ,2,74925,[61237]
Action & Adventure, Ex per ience a simpler time with this charming book that brings kids and families together . The story comes to life with adorable and captiv ating artwork . A delightful surprise at the end awa its . May the adventures continue ! , My Little Red Cam per ( My Little Red Adventure Books ) ( Vol ume 2 ),10,59088,[58375]
"Science, Nature & How It Works"," The Wonder Garden is a non - fiction children ' s book that offers an en chant ing tour of the animal kingdom . With vibrant illustrations and over size pages , the book makes the world ' s biodiversity feel magical . The author , Jenny Bro om , is known for her natural history title Animal ium , which won Children ' s Book of the Year by the Sunday Times . The illustr ator , Krist j ana S Williams , is an Iceland ic artist who studied graphic design and illustration at Central St Mart ins . The book is selected for Children ' s Special as a One to Watch by Wide - E y ed ' s 2 0 1 5 list .", The Wonder Garden : W ander through 5 habitats to discover 8 0 amazing animals ,15,71729,"[85, 3907, 7361, 15811, 20278, 20284, 33063, 33333, 33438, 33443, 33503, 33590, 33642, 33677, 33715, 33807, 33830, 33933, 33976, 37158, 45249, 45281, 48699, 48715, 49524, 52453, 52463, 52592, 52608, 52617, 53235, 58082, 58457, 61348, 61984, 67340, 67352, 68135, 69012, 69868, 70509, 70777, 70806, 70817, 71057, 71076, 71081, 71082, 71726, 71730, 71737, 71748, 71753, 71754, 71755, 71763, 71767, 71771, 71772, 71777, 71778, 71779, 71782, 71785, 71791, 71795, 71796, 71810, 71813, 72780, 73051, 73083, 73249, 76862]"
Literature & Fiction," F ive Little Spec k led Fro gs is a book published by Make Believe Ideas , Ltd ., a company known for creating interactive and educational books for children . The book features sensory elements that aim to inspire and encourage learning while keeping children engaged .", F ive Little Spec k led Fro gs ,0,71041,"[6071, 9782, 9785, 10019, 13367, 21767, 28877, 31328, 31332, 33968, 40321, 45824, 55348, 55452, 56907, 62493, 69413, 71043, 71047, 71048, 71060, 71114, 71115, 71116, 71118]"
Geography & Cultures," Cur ated books for grades 4 - 6 on topics commonly studied in elementary schools . The texts discuss housing , storage , village structure , and family life on the Plains . Full - color illustrations depict Native Americans in historical contexts , though the quality varies . The books are aimed at younger readers and lack source notes or pron unciation guides .", Life in a Long house Village ( N ative Nations of North America ( P aper back )) ,11,34580,"[4743, 5330, 5352, 5642, 6719, 7111, 7284, 10271, 15130, 19731, 20601, 23767, 24200, 27009, 34574, 34575, 34578, 35399, 35402, 35411, 36258, 37723, 38090, 38718, 48591, 48633, 56114, 56864, 58127, 58161, 61091, 61146, 63257, 67437, 72272]"
Animals," Ab dir ah man M . Ab t id oon is an educator , author , and researcher specializing in Som ali language , culture , and literature . His first book was a convers ational ist book in Italian and Som ali published in 1 9 9 7 . He has auth ored several children ' s books and Som ali language manual s and has translated works from Italian and English . He currently resides in the UK .", W ad aj ir B aa A wood Leh ( T ax an aha AR D AA ) ( Vol ume 2 ) ( Som ali Edition ),1,42684,[42683]
"Activities, Crafts & Games"," Rob Hod g son , an illustr ator and designer with a passion for understanding pict orial representation , grew up in an English seas ide town surrounded by skate boarding and Morris sey . He currently resides in Bristol with his girlfriend and two smart cats . Hod g son ' s work showcases his unique blend of creativity and humor , as seen in his latest book , ' Sc ary B ingo : Fun with Mon sters and Crazy Creat ures ' .", Sc ary B ingo : Fun with Mon sters and Crazy Creat ures ,6,71093,"[1846, 4250, 11288, 15811, 20180, 20282, 23822, 35085, 45249, 45991, 52592, 52630, 59466, 67908, 70800, 71076, 71094, 71737, 71753, 71982, 71986, 76862]"
Biographies," This inspiring biography chron icles the life of Clayton ' Pe g Leg ' Bates , a tap dancer who rose to fame despite losing his left leg in a cotton seed mill accident at age 1 2 . Born a share cro pper ' s son in South Carolina , Bates faced racism and advers ity but continued to excel in his career . His unique step , the American Jet Pl ane , won over audiences , and he eventually performed for the king and queen of England , appeared on The Ed Sullivan Show , and opened his own resort in the Cats k ills . The book ' s water color - and - ink cartoon paintings capture his early poverty , fan ad ulation , and love of dancing . V ign ettes depict him performing tap steps in his unique way , while quotes from Bates emphasize his philosophy of equality despite differences in race or ability .", K n ock in ' on Wood : Star ring Pe g Leg Bates ,17,62829,"[5856, 7477, 12199, 19538, 24409, 25779, 27717, 28298, 31756, 34042, 34847, 36038, 36358, 41663, 49311, 73476, 75090, 75206]"
Geography & Cultures," Paul Robert Walker is an author who has written screen plays , magazine articles , and books for both young people and adults . Prior to researching Pride of Puerto Rico , he was only aware of Roberto Clement e ' s reputation as a baseball player , but he soon discovered and respected him as an extraordinary individual .", P ride of Puerto Rico : The Life of Roberto Clement e ,11,7790,"[17954, 19177, 22478, 27752, 42018, 51247, 57298, 66164, 68148, 69639]"
Animals," Jan et Pie hl is a children ' s libr arian from Evan ston , Illinois . She grew up in Shore wood , Wisconsin , and graduated from Mac ales ter College . Pie hl has lived in various places including the Twin Cities and France . She began her writing career at Ler ner , where she worked in the editorial department . Her passion for research led her to become a libr arian . Now , she assists children in finding and utilizing books , which she also writes .", Let ' s Look at Sl oths ( Light ning Bol t Books ),1,31534,"[16586, 50438, 50445, 50448, 51549, 62136]"
